127.0.0.1 - - [01/Aug/2023:15:39:00 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:39:01 +0530] "GET /ProjectP1/index.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:39:01 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:39:06 +0530] "GET /ProjectP1/Servlet1? HTTP/1.1" 405 1106
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:44:37 +0530] "GET /ProjectP1/index.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:44:37 +0530] "GET /ProjectP1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:44:39 +0530] "GET /ProjectP1/Servlet1? HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:44:46 +0530] "GET /ProjectP1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:15:45:15 +0530] "GET /ProjectP1/Servlet1? HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Aug/2023:16:25:47 +0530] "GET /ProjectP1/index.html HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [01/Aug/2023:16:25:48 +0530] "GET /ProjectP1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2023:16:25:53 +0530] "GET /ProjectP1/Servlet1?uname=admin&pass=admin HTTP/1.1" 200 27
